Aljanah,102488,ε Cyg,Cyg
Albali,102618,ε Aqr,Aqr
Musica,103527,18 Del,Del
Polaris Australis,104382,σ Oct,Oct
Solaris,104780,,Peg
Kitalpha,104987,α Equ,Equ
Alderamin,105199,α Cep,Cep
Alfirk,106032,β Cep,Cep
Sadalsuud,106278,β Aqr,Aqr
Bunda,106786,ξ Aqr,Aqr
Nashira,106985,γ Cap,Cap
Azelfafage,107136,π1 Cyg,Cyg
Bosona,107251,,Aqr
Garnet Star,107259,µ Cep,Cep
Enif,107315,ε Peg,Peg
Deneb Algedi,107556,δ Cap,Cap
Aldhanab,108085,γ Gru,Gru
Itonda,108375,,Gru
Kurhah,108917,ξ Cep,Cep
Sadalmelik,109074,α Aqr,Aqr
Alnair,109268,α Gru,Gru
Biham,109427,θ Peg,Peg
Ancha,110003,θ Aqr,Aqr
Lang-Exster,110130,α Tuc,Tuc
Sadachbia,110395,γ Aqr,Aqr
Lionrock,110813,,Aqr
Stellio,111169,α Lac,Lac
Situla,111710,κ Aqr,Aqr
Homam,112029,ζ Peg,Peg
Tiaki,112122,β Gru,Gru
Matar,112158,η Peg,Peg
Sadalbari,112748,μ Peg,Peg
Skat,113136,δ Aqr,Aqr
Tengshe,113288,,Lac
Helvetios,113357,51 Peg,Peg
Fomalhaut,113368,α PsA,PsA
Alfarasalkamil,113726,ο And,And
Scheat,113881,β Peg,Peg
Fumalsamakah,113889,β Psc,Psc
Markab,113963,α Peg,Peg
Ebla,114322,,Psc
Safina,114341,88 Aqr,Aqr
Honores,114570,7 And,And
Danfeng,115211,,Tuc
Salm,115250,τ Peg,Peg
Alkarab,115623,υ Peg,Peg
Veritate,116076,14 And,And
Poerava,116084,,Tuc
Udkadua,116584,λ And,And
Rasalnaqa,116631,ι And,And
Errai,116727,γ Cep,Cep
Kaffalmusalsala,116805,κ And,And
